postcode,postcode_space,postcode area,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Gigabit availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA
AB101FQ,AB10 1FQ,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101GF,AB10 1GF,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101HE,AB10 1HE,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101HF,AB10 1HF,AB,0.0,5.9,0.0,0.0,0.0,94.1,5.9,5.9,5.9,0.0,0.0,0.0,94.1,5.9,0.0,5.9,0.0
AB101HP,AB10 1HP,AB,0.0,58.3,0.0,0.0,0.0,41.7,58.3,58.3,58.3,0.0,0.0,0.0,41.7,58.3,0.0,58.3,0.0
AB101HT,AB10 1HT,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101HW,AB10 1HW,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JD,AB10 1JD,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JE,AB10 1JE,AB,0.0,42.9,0.0,0.0,0.0,57.1,42.9,42.9,42.9,0.0,0.0,0.0,57.1,42.9,0.0,42.9,0.0
AB101JF,AB10 1JF,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JG,AB10 1JG,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JH,AB10 1JH,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JJ,AB10 1JJ,AB,0.0,41.2,0.0,0.0,0.0,58.8,41.2,41.2,41.2,0.0,0.0,0.0,58.8,41.2,0.0,41.2,0.0
AB101JL,AB10 1JL,AB,0.0,87.5,0.0,0.0,0.0,12.5,87.5,87.5,87.5,0.0,0.0,0.0,12.5,87.5,0.0,87.5,0.0
AB101JN,AB10 1JN,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JP,AB10 1JP,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JQ,AB10 1JQ,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JR,AB10 1JR,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JS,AB10 1JS,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JT,AB10 1JT,AB,0.0,53.8,0.0,0.0,0.0,46.2,53.8,53.8,53.8,0.0,0.0,0.0,46.2,53.8,0.0,53.8,0.0
AB101JU,AB10 1JU,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101JX,AB10 1JX,AB,0.0,76.0,0.0,0.0,0.0,24.0,76.0,76.0,76.0,0.0,0.0,0.0,24.0,76.0,0.0,76.0,0.0
AB101JZ,AB10 1JZ,AB,0.0,50.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
AB101LU,AB10 1LU,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
